Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 7, Value: 116
Control Change: Channel: 1, Control: 2, Value: 114
Control Change: Channel: 1, Control: 7, Value: 114
Control Change: Channel: 1, Control: 2, Value: 112
Control Change: Channel: 1, Control: 7, Value: 112
Control Change: Channel: 1, Control: 2, Value: 108
Control Change: Channel: 1, Control: 7, Value: 108
Control Change: Channel: 1, Control: 2, Value: 104
Control Change: Channel: 1, Control: 7, Value: 104
Control Change: Channel: 1, Control: 2, Value: 102
Control Change: Channel: 1, Control: 7, Value: 102
Control Change: Channel: 1, Control: 2, Value: 98
Control Change: Channel: 1, Control: 7, Value: 98
Control Change: Channel: 1, Control: 2, Value: 94
Control Change: Channel: 1, Control: 7, Value: 94
Control Change: Channel: 1, Control: 2, Value: 90
Control Change: Channel: 1, Control: 7, Value: 90
Control Change: Channel: 1, Control: 2, Value: 86
Control Change: Channel: 1, Control: 7, Value: 86
Control Change: Channel: 1, Control: 2, Value: 82
Control Change: Channel: 1, Control: 7, Value: 82
Control Change: Channel: 1, Control: 2, Value: 78
Control Change: Channel: 1, Control: 7, Value: 78
Control Change: Channel: 1, Control: 2, Value: 74
Control Change: Channel: 1, Control: 7, Value: 74
Control Change: Channel: 1, Control: 2, Value: 70
Control Change: Channel: 1, Control: 7, Value: 70
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 60
Control Change: Channel: 1, Control: 7, Value: 60
Control Change: Channel: 1, Control: 2, Value: 54
Control Change: Channel: 1, Control: 7, Value: 54
Control Change: Channel: 1, Control: 2, Value: 50
Control Change: Channel: 1, Control: 7, Value: 50
Control Change: Channel: 1, Control: 2, Value: 44
Control Change: Channel: 1, Control: 7, Value: 44
Control Change: Channel: 1, Control: 2, Value: 40
Control Change: Channel: 1, Control: 7, Value: 40
Control Change: Channel: 1, Control: 2, Value: 34
Control Change: Channel: 1, Control: 7, Value: 34
Control Change: Channel: 1, Control: 2, Value: 30
